;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
27;クマ;bear (any mammal of family Ursidae);くま;28;39.99658883;0.615682;;35;V;p4
28;雪子;Name;;29;40.59320844;0.5966196;;-1;V;p4
29;です;be,is;です;30;41.18481162;0.59160318;;-1;V;p4
30;堂島;Dōjima Rice Exchange;;31;41.74832284;0.56351123;;-1;V;p4
31;直;price,cost;あたい;31;42.31183407;0.56351123;N3;22;V;p4
32;斗;to,traditional unit of volume, approx. 18 litres;と;33;42.87467644;0.56284237;;44;V;p4
33;そう;monk,priest;そう;34;43.38534804;0.5106716;N1;-1;V;p4
34;天城;Japanese corvette Amagi;;35;43.8752851;0.48993706;;-1;V;p4
35;り;advantage,benefit,profit,interest;り;36;44.36421888;0.48893378;;-1;V;p4
36;白;white;しろ;37;44.8310804;0.46686153;N5;2;V;p4
37;鐘;bell (often a large hanging bell),chime;かね;38;45.29660422;0.46552381;N2;45;V;p4
38;せる;cell;セル;39;45.7534329;0.45682869;;-1;V;p4
39;じゃ;then,well,so,well then;じゃあ;40;46.2032386;0.4498057;N5;-1;V;p4
40;こと;thing,matter;こと;41;46.65270987;0.44947127;N3;9;V;p4
41;完二;Name;;42;47.09984014;0.44713027;;-1;V;p4
42;菜々子;Amazing Nurse Nanako;;43;47.54128514;0.441445;;-1;V;p4
43;ます;to increase,to grow;ます;44;47.97804814;0.436763;N3;25;V;p4
44;けど;but,however,although;けど;45;48.40377502;0.42572688;N4;-1;V;p4
45;何;what;なに;46;48.80375094;0.39997592;N3;5;V;p4
46;巽;xun (one of the trigrams of the I Ching: wind, southeast);そん;47;49.19871045;0.3949595;;-1;V;p4
47;なる;to become,to get,to grow,to be,to reach,to attain;なる;48;49.59099452;0.39228408;N3;11;V;p4
48;ある;to be,to exist,to live;ある;49;49.96856377;0.37756924;N3;6;V;p4
49;れる;"indicates passive voice (incl. the ""suffering passive"")";れる;50;50.33977888;0.37121511;;-1;V;p4
50;久慈川;Name;;51;50.69962343;0.35984456;;-1;V;p4
51;言う;to say,to utter,to declare;いう;52;51.02234648;0.32272305;N3;5;V;p4
52;太郎;Taro (given name);;53;51.3387154;0.31636891;;-1;V;p4
53;あ;sub-;あ;54;51.64739246;0.30867707;;-1;V;p4
54;いい;good,excellent,fine,nice,pleasant,agreeable;よい;55;51.94804326;0.3006508;N3;11;V;p4
55;それ;that (indicating an item or person near the listener, the action of the listener, or something on their mind),it;それ;56;52.23531694;0.28727368;N3;-1;V;p4
56;私;I,me;わたし;57;52.5189119;0.28359497;N5;6;V;p4
57;事;thing,matter;こと;58;52.79949702;0.28058512;N3;9;V;p4
58;人;man,person;ひと;59;53.073728;0.27423098;N5;1;V;p4
59;よう;appearing ...,looking ...;よう;60;53.34595242;0.27222441;N3;-1;V;p4
60;分かる;to understand,to comprehend,to grasp,to see,to get,to follow;わかる;61;53.61650469;0.27055227;N2;3;V;p4
61;さ;difference,variation;さ;62;53.88638811;0.26988342;N3;-1;V;p4
62;遼;Liao (dynasty, 916-1125 CE),Khitan Empire;りょう;63;54.15560267;0.26921456;;-1;V;p4
63;今日;today,this day;きょう;64;54.404082700000004;0.24848002;N3;3;V;p4
64;思う;to think,to consider,to believe,to reckon;おもう;65;54.65089058;0.24680788;N4;6;V;p4
65;音;sound,noise,report;おと;66;54.88164592;0.23075534;N4;5;V;p4
66;先輩;senior (at work or school),superior,elder,older graduate,progenitor,old-timer;せんぱい;67;55.1080537;0.22640777;N4;25;V;p4
67;行く;to go,to move (in a direction or towards a specific location),to head (towards),to be transported (towards),to reach;いく;68;55.32977948;0.22172578;N1;5;V;p4
68;綾;figure,design;あや;69;55.55117083;0.22139135;;-1;V;p4
69;お前;you;おまえ;70;55.76921791;0.21804707;N3;8;V;p4
70;お;tail (animal, kite, comet, etc.),tail end;お;71;55.97923871;0.2100208;N1;20;V;p4
71;し;poem,verse of poetry;し;72;56.18691851;0.20767981;N3;13;V;p4
72;見る;to see,to look,to watch,to view,to observe;みる;73;56.39426389;0.20734538;N5;22;V;p4
73;結実;fruition,fructification,bearing fruit;けつじつ;74;56.60060598;0.20634209;;-1;V;p4
74;あい;love,affection,care;あい;75;56.80561036;0.20500438;N3;17;V;p4
75;く;section (i.e. of text),sentence,passage,paragraph;く;76;57.00860818;0.20299781;N3;-1;V;p4
76;たい;sea bream (Sparidae),porgy;たい;77;57.20959942;0.20099124;;-1;V;p4
77;この;this;この;78;57.40992181;0.20032239;N3;-1;V;p4
78;とか;and the like,such as,among other things,and so on;とか;78;57.6102442;0.20032239;;-1;V;p4
79;来る;to come (spatially or temporally),to approach,to arrive;くる;80;57.80822559;0.19798139;N5;5;V;p4
80;くる;to come (spatially or temporally),to approach,to arrive;くる;81;58.00152499;0.1932994;N5;5;V;p4
81;やる;to do,to undertake,to perform,to play (a game),to study;やる;82;58.19448996;0.19296497;N1;-1;V;p4
82;一条;a line,a streak,a stripe,a ray (of light),a wisp (of smoke);いちじょう;83;58.38678608;0.19229612;;-1;V;p4
83;気;spirit,mind,heart;き;84;58.57874777;0.19196169;N4;4;V;p4
84;鳴る;to sound,to ring,to resound,to echo,to roar,to rumble;なる;85;58.76903732;0.19028955;N4;12;V;p4
85;足立;Masao Adachi;;86;58.95364159;0.18460427;;-1;V;p4
86;や;arrow;や;87;59.13724257;0.18360099;N1;3;V;p4
87;廣;advertisement,advertising;こうこく;87;59.32084356;0.18360099;N3;18;V;p4
88;上;above,up,over,elder (e.g. daughter);うえ;89;59.50043141;0.17958785;N5;1;V;p4
89;長瀬;Miyu Nagase;;90;59.67834712;0.17791571;;-1;V;p4
90;くれる;to get dark,to grow dark;くれる;91;59.85425627;0.17590914;N4;35;V;p4
91;松永;Matsunaga;;92;60.02983098;0.17557471;;-1;V;p4
92;ここ;individual,one by one,separate,each;ここ;93;60.20373355;0.17390257;N1;-1;V;p4
93;もう;now,soon,shortly,before long,presently;もう;94;60.37295414;0.16922058;N5;-1;V;p4
94;帰る;to return,to come home,to go home,to go back;かえる;95;60.53749273;0.16453859;N5;15;V;p4
95;ば;place,spot,space;ば;96;60.70169689;0.16420416;N3;-1;V;p4
96;まで;until (a time),till,to,up to;まで;97;60.86422891;0.16253202;;-1;V;p4
97;透;transparent,clear;とうめい;98;61.02408551;0.1598566;N2;40;V;p4
98;だけ;only,just,merely,simply,no more than,nothing but,alone;だけ;99;61.18360768;0.15952217;N1;-1;V;p4
99;出る;to leave,to exit,to go out,to come out,to get out;でる;100;61.34179213;0.15818446;N5;2;V;p4
100;小沢;Ozawa;;101;61.49897331;0.15718117;;-1;V;p4
101;これ;this (indicating an item near the speaker, the action of the speaker, or the current topic);これ;102;61.65481677;0.15584346;N1;55;V;p4
102;みる;to see,to look,to watch,to view,to observe;みる;103;61.809656939999996;0.15484018;N5;22;V;p4
103;俺;I,me;おれ;104;61.96416269;0.15450575;N1;44;V;p4
104;霧;fog,mist;きり;105;62.11833401;0.15417132;N3;47;V;p4
105;海老原;Yuki Ebihara;;106;62.27150205;0.15316804;;-1;V;p4
106;無い;nonexistent,not being (there);ない;107;62.42299795;0.1514959;;-1;V;p4
107;ちゃう;to do completely;ちゃう;108;62.56747085;0.14447291;;-1;V;p4
108;わ;ring,circle,loop;わ;109;62.71160933;0.14413848;N3;13;V;p4
109;放課後;after school (at the end of the day);ほうかご;109;62.85574781;0.14413848;;-1;V;p4
110;ねー;right?,don't you think;ね;111;62.99921744;0.14346962;;-1;V;p4
111;一;one;いち;112;63.13934278;0.14012534;N5;1;V;p4
112;秀;preeminence,supremacy,distinction,excellence;しゅう;113;63.27746156;0.13811878;;-1;V;p4
113;その;that,the;その;114;63.41290491;0.13544335;N3;-1;V;p4
114;小西;Siu Sai Wan;;115;63.5476794;0.1347745;;-1;V;p4
115;あの;that;あの;116;63.68111619;0.13343678;N1;-1;V;p4
116;え;picture,drawing,painting,sketch;え;117;63.81421854;0.13310236;N5;8;V;p4
117;大輔;vice-minister (Meiji period),undersecretary;だゆう;118;63.946652040000004;0.1324335;;-1;V;p4
118;今;now,the present time,just now,soon,immediately;いま;119;64.07774783;0.13109579;N5;3;V;p4
119;僕;I,me;ぼく;120;64.20717147;0.12942365;N4;12;V;p4
120;尚紀;Name;;121;64.33592627;0.12875479;;-1;V;p4
121;自分;myself,yourself,oneself,himself,herself;じぶん;122;64.46367777;0.12775151;N5;5;V;p4
122;また;again,once more,once again,another time,some other time;また;123;64.59009157;0.12641379;N3;2;V;p4
123;さん;three;さん;124;64.71148894;0.12139737;N1;1;V;p4
124;過ごす;to pass (time),to spend;すごす;125;64.83188303;0.12039409;N3;26;V;p4
125;くん;Mr (junior),master,boy;くん;126;64.95127384;0.11939081;N4;8;V;p4
126;でも;but,however,though,nevertheless,still,yet,even so,also,as well;でも;127;65.06966136;0.11838752;N3;-1;V;p4
127;まだ;still,as yet,hitherto,only;まだ;127;65.18804888;0.11838752;N3;7;V;p4
128;そんな;such (about the actions of the listener, or about ideas expressed or understood by the listener),like that,that sort of;そんな;129;65.30576755;0.11771867;N4;-1;V;p4
129;だって;after all,because;だって;130;65.42181407;0.11604653;N3;-1;V;p4
130;かも;duck;かも;131;65.5355196;0.11370553;;-1;V;p4
131;ちょっと;a little,a bit,slightly;ちょっと;132;65.64721856;0.11169896;N1;-1;V;p4
132;られる;"indicates passive voice (incl. the ""suffering passive"")";れる;133;65.75824867;0.11103011;;-1;V;p4
133;聞く;to hear;きく;134;65.86894434;0.11069568;N5;37;V;p4
134;家;house,residence,dwelling;いえ;135;65.97897117;0.11002682;N5;-1;V;p4
135;オレ;olé;オーレ;136;66.08866356;0.10969239;;-1;V;p4
136;みんな;all,everyone,everybody;みんな;136;66.19835595;0.10969239;N4;-1;V;p4
137;なんか;things like ...,or something like that ...;なんか;138;66.30704506;0.10868911;N1;-1;V;p4
138;どう;copper (Cu);どう;139;66.41473089;0.10768582;N2;-1;V;p4
139;なんて;how ...!,what ...!;なんて;139;66.52241671;0.10768582;N1;-1;V;p4
140;知る;to be aware of,to know,to be conscious of,to cognize,to cognise;しる;141;66.62943368;0.10701697;N5;6;V;p4
141;ちゃん;suffix for familiar person;ちゃん;142;66.73611622;0.10668254;N4;-1;V;p4
142;へ;to,towards,for;へ;143;66.84246433;0.10634811;;-1;V;p4
143;乃;'s,of,belonging to;の;144;66.94780916;0.10534483;;-1;V;p4
144;話;talk,speech,chat,conversation;はなし;145;67.05047857;0.1026694;N5;10;V;p4
145;ら;pluralizing suffix;ら;146;67.15247911;0.10200055;;-1;V;p4
146;テレビ;television,TV;テレビ;147;67.25381081;0.10133169;N5;-1;V;p4
147;スる;to pick someone's pocket,to pickpocket;する;148;67.35480807;0.10099726;;-1;V;p4
148;あたし;I,me;あたし;149;67.45547091;0.10066284;N1;-1;V;p4
149;ぜ;I can tell you;ぜ;150;67.55513046;0.09965955;;-1;V;p4
150;笑う;to laugh;わらう;151;67.65144573;0.09631527;N4;16;V;p4
151;うん;fortune,luck;うん;152;67.74709215;0.09564642;N3;12;V;p4
152;なんだ;what!,oh;なんだ;152;67.84273856;0.09564642;;-1;V;p4
153;こんな;this sort of,this kind of,like this,such;こんな;154;67.93771612;0.09497756;N5;-1;V;p4
154;時;time,hour,moment;とき;154;68.03269368;0.09497756;N3;7;V;p4
155;みたい;-like,sort of,similar to,resembling;みたい;156;68.12733682;0.09464313;;-1;V;p4
156;中島;island in a pond or river;なかじま;157;68.22164552;0.0943087;;-1;V;p4
157;誰;who;だれ;158;68.31361323;0.09196771;N1;43;V;p4
158;二;two;に;159;68.40491208;0.09129885;N5;1;V;p4
159;じゃあ;then,well,so,well then;じゃあ;160;68.49554207;0.09063;N5;-1;V;p4
160;もう一人;another (person),the other person,one more (person);もうひとり;161;68.58583764;0.09029557;;-1;V;p4
161;ま;time,pause;ま;162;68.67579878;0.08996114;N3;8;V;p4
162;前;"the last (i.e. immediately preceding) (e.g. ""the last mayor""),previous,one-time,former";ぜん;163;68.76509106;0.08929228;N1;-1;V;p4
163;目;eye,eyeball;め;164;68.85371449;0.08862343;N5;2;V;p4
164;中;medium,average,middle;ちゅう;165;68.94200349;0.088289;N3;-1;V;p4
165;のに;although,despite,even though,and yet;のに;166;69.02995806;0.08795457;;-1;V;p4
166;ふる;to fall (of rain, snow, ash, etc.),to come down;ふる;167;69.11523721;0.08527915;N5;34;V;p4
167;小夜子;Name;;168;69.20018193;0.08494472;;-1;V;p4
168;できる;to be able (in a position) to do,to be up to the task;できる;169;69.28445779;0.08427586;N3;6;V;p4
169;ひさ;blown sand,sand blow,sand drift (by the wind);ひさ;169;69.36873365;0.08427586;;-1;V;p4
170;事件;event,affair,incident,case,plot,trouble,scandal;じけん;171;69.45234066;0.08360701;N3;21;V;p4
171;黒田;Kuroda;;171;69.53594767;0.08360701;;-1;V;p4
172;ぞ;adds force or indicates command;ぞ;173;69.61654482;0.08059715;;-1;V;p4
173;顔;face,visage;かお;173;69.69714198;0.08059715;;10;V;p4
174;雨;rain;あめ;175;69.77707028;0.0799283;N5;5;V;p4
175;少し;small quantity,little,few,something;すこし;176;69.85666415;0.07959387;N5;3;V;p4
176;南;south;みなみ;177;69.93592359;0.07925944;N5;6;V;p4
177;じゃん;isn't it?,don't you think?,right?,surely,come on;じゃん;178;70.01451418;0.07859059;;-1;V;p4
178;絵里;Name;;178;70.09310476;0.07859059;;-1;V;p4
179;生田目;Name;;180;70.17002321;0.07691845;;-1;V;p4
180;いう;to say,to utter,to declare;いう;181;70.24560394;0.07558073;N3;5;V;p4
181;そっ;that way (direction distant from the speaker, close to the listener);そちら;181;70.32118468;0.07558073;N1;-1;V;p4
182;日;Sunday;にち;183;70.39643098;0.07524631;N3;-1;V;p4
183;あー;ah!,oh!,alas!;ああ;184;70.47134286;0.07491188;N1;-1;V;p4
184;ため;good,advantage,benefit,welfare;ため;184;70.54625474;0.07491188;N4;-1;V;p4
185;柏木;oak tree;かしわぎ;186;70.62083219;0.07457745;;-1;V;p4
186;考える;to think (about, of),to think over,to ponder,to contemplate,to reflect (on),to meditate (on);かんがえる;186;70.69540964;0.07457745;N4;5;V;p4
187;よい;good,excellent,fine,nice,pleasant,agreeable;よい;188;70.76931824;0.07390859;N3;11;V;p4
188;待つ;to wait;まつ;189;70.84222355;0.07290531;N5;12;V;p4
189;そ;ancestor,forefather,progenitor;そ;190;70.91479443;0.07257088;;-1;V;p4
190;学校;school;がっこう;190;70.98736531;0.07257088;N5;7;V;p4
191;たち;"pluralizing suffix (esp. for people and animals; formerly honorific)";たち;192;71.05792962;0.07056431;;18;V;p4
192;もの;thing,object,article,stuff,substance;もの;193;71.12715622;0.0692266;N5;9;V;p4
193;後;back,behind,rear;うしろ;194;71.19504511;0.06788889;N3;6;V;p4
194;典子;Princess Noriko of Takamado;;195;71.26193072;0.06688561;;-1;V;p4
195;違う;to differ (from),to vary;ちがう;195;71.32881633;0.06688561;N5;24;V;p4
196;という;called,named;という;197;71.39503307;0.06621675;;-1;V;p4
197;しか;deer (esp. the sika deer, Cervus nippon),cervid;しか;198;71.4609154;0.06588232;;36;V;p4
198;上原;Shigeru Uehara;;199;71.52579443;0.06487904;;-1;V;p4
199;先生;teacher,instructor,master;せんせい;199;71.59067347;0.06487904;N5;4;V;p4
200;力;force,strength,might,vigour (vigor),energy;ちから;199;71.65555251;0.06487904;N4;1;V;p4
201;話す;to talk,to speak,to converse,to chat;はなす;202;71.71976269;0.06421018;N5;8;V;p4
202;入れる;to put in,to let in,to take in,to bring in,to insert,to install (e.g. software),to set (a jewel, etc.),to ink in (e.g. tattoo);いれる;203;71.78363844;0.06387575;N5;1;V;p4
203;感じる;to feel,to sense,to experience;かんじる;203;71.8475142;0.06387575;N3;13;V;p4
204;犯人;offender,criminal,culprit;はんにん;203;71.91138995;0.06387575;N3;20;V;p4
205;世界;the world,society,the universe;せかい;206;71.97459685;0.0632069;N4;9;V;p4
206;千;1,000,thousand;せん;206;72.03780374;0.0632069;N5;2;V;p4
207;戻る;to turn back (e.g. half-way);もどる;208;72.10067621;0.06287247;N4;37;V;p4
208;入る;to enter,to go into;はいる;209;72.16321425;0.06253804;N5;1;V;p4
209;楽しい;enjoyable,fun,pleasant,happy,delightful;たのしい;210;72.22508344;0.06186919;N5;8;V;p4
210;良い;good,excellent,fine,nice,pleasant,agreeable;よい;210;72.28695262;0.06186919;N3;11;V;p4
211;ありがとう;thank you,thanks;ありがとう;212;72.34815295;0.06120033;N3;22;V;p4
212;枝;branch,bow,bough,twig,limb;えだ;212;72.40935328;0.06120033;N4;34;V;p4
213;もらう;to receive,to take,to accept;もらう;214;72.47021918;0.0608659;N3;-1;V;p4
214;好き;liked,well-liked,favourite,favorite;すき;214;72.53108509;0.0608659;N5;11;V;p4
215;あなた;you (referring to someone of equal or lower status);あなた;216;72.59161656;0.06053147;N1;-1;V;p4
216;マーガレット;marguerite (Chrysanthemum frutescens);マーガレット;216;72.65214803;0.06053147;;-1;V;p4
217;悪い;bad,poor,undesirable;わるい;216;72.7126795;0.06053147;N5;12;V;p4
218;部;department (in an organization),division,bureau;ぶ;219;72.77220769;0.05952819;N1;9;V;p4
219;一緒;together;いっしょ;220;72.83106703;0.05885933;N5;38;V;p4
220;もん;gate;もん;221;72.88959193;0.0585249;N1;16;V;p4
221;町;town,block,neighbourhood,neighborhood;まち;222;72.94677912;0.05718719;N3;4;V;p4
222;ちゃ;tea;ちゃ;223;73.00363189;0.05685276;N3;-1;V;p4
223;えっ;huh?,what's up?;えっ;224;73.05914694;0.05551505;;-1;V;p4
224;ダミー;dummy;ダミー;225;73.11432757;0.05518062;;-1;V;p4
225;出す;to take out,to get out;だす;225;73.16950819;0.05518062;N5;2;V;p4
226;なん;difficulty,trouble,hardship;なん;227;73.22368553;0.05417734;N1;-1;V;p4
227;子;child;こ;227;73.27786287;0.05417734;N4;2;V;p4
228;時間;time;じかん;227;73.33204021;0.05417734;N5;8;V;p4
229;いく;to go,to move (in a direction or towards a specific location),to head (towards),to be transported (towards),to reach;いく;230;73.38588312;0.05384291;N1;5;V;p4
230;ちる;to fall (e.g. blossoms, leaves);ちる;231;73.43905718;0.05317406;N2;31;V;p4
231;方;direction,way,side,area (in a particular direction);ほう;231;73.49223124;0.05317406;N3;3;V;p4
232;なー;hey,say,look;なあ;233;73.54507087;0.05283963;;-1;V;p4
233;ねえ;older sister;ねえ;233;73.59791049;0.05283963;;-1;V;p4
234;お父さん;father,dad,papa,pa,pop,daddy,dada;おとうさん;235;73.65041569;0.0525052;N5;3;V;p4
235;なぁ;hey,say,look;なあ;236;73.70258647;0.05217077;;-1;V;p4
236;続く;to continue,to last,to go on;つづく;236;73.75475724;0.05217077;N4;19;V;p4
237;意味;meaning,significance,sense;いみ;238;73.80659358;0.05183634;N5;11;V;p4
238;ああ;ah!,oh!,alas!;ああ;239;73.85776107;0.05116749;N1;-1;V;p4
239;まあ;"just (e.g. ""just wait here""),come now,now, now";まあ;240;73.9082597;0.05049863;N3;-1;V;p4
240;明日;tomorrow;あした;240;73.95875834;0.05049863;N4;8;V;p4
241;んで;and then,and so,and,so then;んで;242;74.00892254;0.0501642;;-1;V;p4
242;警察;police;けいさつ;242;74.05908674;0.0501642;N4;17;V;p4
243;どこ;where,what place;どこ;244;74.10891652;0.04982978;N1;-1;V;p4
244;居る;to be (of animate objects),to exist;いる;244;74.1587463;0.04982978;N5;25;V;p4
245;ずっと;continuously in some state (for a long time, distance),throughout,all along,the whole time,all the way;ずっと;246;74.20824164;0.04949535;N3;-1;V;p4
246;同じ;same,identical,equal,uniform,equivalent,similar,common (origin),changeless,alike;おなじ;246;74.25773699;0.04949535;N5;5;V;p4
247;ぬ;not;ぬ;248;74.30689791;0.04916092;;-1;V;p4
248;映る;to be reflected,to harmonize with (harmonise),to come out (photo),to be projected,to be displayed (on a screen);うつる;249;74.3557244;0.04882649;N2;13;V;p4
249;きっと;surely,undoubtedly,almost certainly,most likely (e.g. 90 percent);きっと;250;74.40388204;0.04815764;N4;-1;V;p4
250;よく;nicely,properly,well,skillfully,skilfully;よく;250;74.45203968;0.04815764;N5;-1;V;p4
251;手;hand,arm;て;250;74.50019731;0.04815764;N5;2;V;p4
252;たり;"-ing and -ing (e.g. ""coming and going"")";たり;253;74.54802052;0.04782321;;-1;V;p4
253;っす;be,is;っす;253;74.59584373;0.04782321;;-1;V;p4
254;見える;to be seen,to be in sight;みえる;253;74.64366694;0.04782321;N4;4;V;p4
255;らしい;seeming ...,appearing ...;らしい;256;74.69115572;0.04748878;;-1;V;p4
256;作る;to make,to produce,to manufacture,to build,to construct;つくる;257;74.73831007;0.04715435;N2;26;V;p4
257;諸岡;Name;;258;74.78512999;0.04681992;;-1;V;p4
258;ごめん;your pardon,sorry,no thanks;ごめん;259;74.83161549;0.0464855;N2;39;V;p4
259;ただ;ordinary,common,usual;ただ;259;74.87810098;0.0464855;N3;49;V;p4
260;一緒に;together (with),at the same time,in a lump;いっしょに;259;74.92458648;0.0464855;;-1;V;p4
261;完;The End,Finis;かん;262;74.97040312;0.04581664;;-1;V;p4
262;ねぇ;right?,don't you think;ね;263;75.01588533;0.04548221;;-1;V;p4
263;大丈夫;safe,secure,sound,problem-free,without fear,all right,alright,OK,okay;だいじょうぶ;263;75.06136754;0.04548221;N5;18;V;p4
264;欲しい;wanted,wished for,in need of,desired;ほしい;263;75.10684975;0.04548221;N5;32;V;p4
265;頑張る;to persevere,to persist,to keep at it,to hang on,to hold out,to do one's best;がんばる;263;75.15233197;0.04548221;;25;V;p4
266;仲;relation,relationship;なか;267;75.19747975;0.04514778;N3;11;V;p4
267;そういう;such,like that,that sort of,very;そういう;268;75.24229311;0.04481336;;-1;V;p4
268;あれ;that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly);あれ;269;75.28677203;0.04447893;N5;-1;V;p4
269;ほら;boasting,bragging,big talk;ほら;269;75.33125096;0.04447893;;-1;V;p4
270;こっち;this way (direction close to the speaker or towards the speaker),this direction;こちら;271;75.37506103;0.04381007;N5;-1;V;p4
271;とこ;bed,bedding;とこ;271;75.4188711;0.04381007;N1;-1;V;p4
272;より;than;より;273;75.46234675;0.04347564;N5;-1;V;p4
273;つく;to arrive at,to reach;つく;274;75.50481911;0.04247236;N5;12;V;p4
274;いや;disagreeable,detestable,unpleasant,reluctant;いや;275;75.54695704;0.04213793;N5;20;V;p4
275;くださる;to give,to confer,to bestow;くださる;275;75.58909497;0.04213793;N3;-1;V;p4
276;ダメ;no good,not serving its purpose,useless,broken;だめ;275;75.6312329;0.04213793;N3;50;V;p4
277;ちゃんと;diligently,seriously,earnestly,reliably,steadily,legitimately;ちゃんと;278;75.67303641;0.0418035;N3;-1;V;p4
278;条;muscle,tendon,sinew;すじ;278;75.71483991;0.0418035;N3;33;V;p4
279;わけ;conclusion from reasoning, judgement or calculation based on something read or heard,reason,cause,meaning,circumstances,situation;わけ;280;75.75630898;0.04146908;N4;32;V;p4
280;君;you,buddy,pal;きみ;280;75.79777806;0.04146908;N4;8;V;p4
281;しまう;to finish,to stop,to end,to put an end to,to bring to a close;しまう;282;75.83891271;0.04113465;N3;-1;V;p4
282;やめる;to resign,to retire,to quit,to leave (one's job, etc.);やめる;282;75.88004736;0.04113465;N3;16;V;p4
283;優しい;tender,kind,gentle,graceful,affectionate,amiable;やさしい;282;75.921182;0.04113465;N4;23;V;p4
284;出来る;to be able (in a position) to do,to be up to the task;できる;282;75.96231665;0.04113465;N3;6;V;p4
285;山野;hills and fields,countryside;さんや;282;76.0034513;0.04113465;;-1;V;p4
286;早い;fast,quick,hasty,brisk;はやい;282;76.04458594;0.04113465;N5;10;V;p4
287;もっと;(some) more,even more,longer,further;もっと;288;76.08538616;0.04080022;N5;-1;V;p4
288;死ぬ;to die,to pass away;しぬ;289;76.12585196;0.04046579;N5;6;V;p4
289;行う;to perform,to do,to conduct oneself,to carry out;おこなう;289;76.16631775;0.04046579;N4;5;V;p4
290;買う;to buy,to purchase;かう;289;76.20678354;0.04046579;N5;8;V;p4
291;つ;indicates two contrasting actions;つ;292;76.2469149;0.04013136;;-1;V;p4
292;準備;preparation,arrangements,getting ready,provision,setup,reserving;じゅんび;292;76.28704626;0.04013136;N3;25;V;p4
293;食べる;to eat;たべる;292;76.32717763;0.04013136;N5;6;V;p4
294;すぐ;immediately,at once,right away,directly;すぐ;295;76.36697456;0.03979694;N1;-1;V;p4
295;金四郎;Name;;295;76.4067715;0.03979694;;-1;V;p4
296;忘れる;to forget,to leave carelessly,to be forgetful of,to forget about,to forget (an article);わすれる;297;76.44623401;0.03946251;N5;18;V;p4
297;やっぱ;too,also,likewise,either;やっぱ;298;76.48536209;0.03912808;;-1;V;p4
298;深まる;to deepen,to heighten,to intensify;ふかまる;298;76.52449016;0.03912808;N2;-1;V;p4
299;終わる;to end,to come to an end,to close,to finish;おわる;298;76.56361824;0.03912808;N1;10;V;p4
300;心配;worry,concern,anxiety,uneasiness,fear;しんぱい;301;76.60241189;0.03879365;N3;12;V;p4
301;持つ;to hold (in one's hand),to take,to carry;もつ;302;76.64087112;0.03845922;N5;9;V;p4
302;お兄ちゃん;(one's) older brother;おにいちゃん;303;76.67899591;0.0381248;;-1;V;p4
303;とにかく;anyhow,at any rate,anyway,somehow or other,generally speaking,in any case,at least;とにかく;303;76.71712071;0.0381248;N3;-1;V;p4
304;ので;that being the case,because of ...,the reason is ...,given that ...;ので;303;76.7552455;0.0381248;;-1;V;p4
